# Total Phase Data Center(tm) v8.00
# (c) 2005-2025 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,ASCII
0,"172","0:03.749.076","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"173","0:03.750.011","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"174","0:03.750.289","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"175","0:03.751.137","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"176","0:03.752.046","278.100 us","1 B","","S","50","Write Transaction",9D,"."
0,"177","0:03.752.324","218.100 us","1 B","","SP","50","Read Transaction",06*,"."
0,"178","0:03.752.635","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"179","0:03.753.626","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"180","0:03.753.904","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"181","0:03.754.757","321.800 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"182","0:03.755.660","278.100 us","1 B","","S","50","Write Transaction",9E,"."
0,"183","0:03.755.938","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"184","0:03.756.638","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"185","0:03.757.614","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"186","0:03.757.892","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"187","0:03.758.745","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"188","0:03.759.647","278.100 us","1 B","","S","50","Write Transaction",93,"."
0,"189","0:03.759.925","218.100 us","1 B","","SP","50","Read Transaction",00*,"."
0,"190","0:03.760.638","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"191","0:03.761.633","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"192","0:03.761.911","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
